00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
khát vọng	(verb) to aspire; to thirst for
lut dau	(tiếng địa phương) Be up to the ears
lut dau	(tiếng địa phương) Be up to the ears
ong bap cay	cũng nói ong bầu
ong bap cay	cũng nói ong bầu
song suot	(adverb) at full length
song suot	(adverb) at full length
thiet bi	(adj) leaden
thiet bi	(adj) leaden
thối nát	(adj) corruptive, corrupt
thối nát	(adj) corruptive, corrupt
tệ hại	(adj) bad, deplorable
tệ hại	(adj) bad, deplorable
xep thu tu	(verb) to put in order
xep thu tu	(verb) to put in order
đen đỏ	cũng như đỏ đen Chance, luck (in gambling)
đen đỏ	cũng như đỏ đen Chance, luck (in gambling)
đen đỏ	Red light
đầy phè	Brimfulap dat	(verb) To impose, to force on
đầy phè	Brimful
beo dau	Azolla
beo dau	Azolla
buong khue	Bower, boudoir
buong khue	Bower, boudoir
bảnh mắt	Just awake, very early
bảnh mắt	(noun) Molasses-sweetened glutinous rice cake (filled with green bean paste or groundnut)
cach mang	(noun) Revolution
cach mang	(noun) Revolution
chap chung	(adj) Toddling
chap chung	(adj) Toddling
co sat	(verb) To commit wilful homicide
co sat	(verb) To commit wilful homicide
cất công	To trouble oneself (to do something)
cất công	To trouble oneself (to do something)
do van	knock-out
do van	knock-out
giấy moi	Inferior tissue paper
giấy moi	Invitation
giấy moi	Inferior tissue paper
hau dau	Awkward, lubberly
hau dau	Awkward, lubberly
hong mao	Wild goose down
hong mao	Wild goose down
hương cống	(từ cũ; nghĩa cũ) Interprovincial competition-examination (trước
hương cống	(từ cũ; nghĩa cũ) Interprovincial competition-examination (trước
khac go	Wood-engraving
khac go	Wood-engraving
kháu	(adj) pretty
kháu	(verb) to sew
kháu	(địa phương) như gàu Bailer, bucket
kháu	(verb) to deduct
kháu	(noun) mouth
mục kích	(verb) to eye, to witness
mục kích	(từ cũ) Gig-lamps, spec
mục kích	(verb) to eye, to witness
qua sang	(noun) breakfast
qua sang	(noun) breakfast
rủ rê	(verb) to invite; to entice
rủ rê	(verb) to invite; to entice
thiet giap	(noun) armour
thiet giap	(noun) armour
thống chế	(noun) marshal
thống chế	(noun) marshal
tệ tục	(noun) bad custom
tệ tục	(noun) bad custom
xet doan	(verb) judge
xet doan	(verb) judge
đen đủi	Black; Bad, unlucky
đen đủi	Black; Bad, unlucky
đầy ruột	Be infuriated, be enraged at (by)ap dung	(verb) To apply, to put into practice, to put into application
đầy ruột	Be infuriated, be enraged at (by)
beo i	Flabbily fat
beo i	Flabbily fat
buong lai	Steering bridge, steering room, cab
buong lai	Steering bridge, steering room, cab
bảnh trai	(adj) Smart and handsome
bảnh trai	(noun) Cakes (nói khái quát)
cach mang hoa	(verb) To revolutionize
cach mang hoa	(verb) To revolutionize
chap hanh	(verb) To execute, to implement
chap hanh	(verb) To execute, to implement
co sau rom	Green bristle grass
co sau rom	Green bristle grass
cất cơn	(y học) Abate (said of a fit of fever)
cất cơn	(y học) Abate (said of a fit of fever)
dao mo	(noun) lancet; bistoury
dao mo	(noun) lancet; bistoury
dao mo	Mine, exploit; (cũ) Be a fortune-hunter, be a gold- digger
do vat	(noun) wrestler
do vat	Object,thingsban tan	(verb) To discuss in a widespread and inconclusive way
do vat	(noun) wrestler
giấy má	(noun) paper; documents
giấy má	(noun) paper; documents
hau doi	Rearguard
hau doi	Rearguard
hương dũng	(từ cũ; nghĩa cũ) Regional (thời thuộc pháp)
hương dũng	(từ cũ; nghĩa cũ) Regional (thời thuộc pháp)
khac kho	(adj) harsh; austere
khac kho	(adj) harsh; austere
kháu khỉnh	như kháu
kháu khỉnh	như kháu
nhai lai	Chew the cud, ruminate
nhai lai	Chew the cud, ruminate
phuc dap	Reply, answer
phuc dap	Reply, answer
song than	(noun) parents
song than	(noun) parents
song than	Large-threaded vermicelli
thiet hai	(verb) to suffer a loss, to suffer damage
thiet hai	(noun) damage, loss, injury
thiet hai	(verb) to suffer a loss, to suffer damage
thiet hai	(noun) damage, loss, injury
thống khổ	(adj) in agony, grcevous
thống khổ	(adj) in agony, grcevous
tệ xá	(noun) my humble abode
tệ xá	(noun) my humble abode
xet hoi	(verb) interrogate, question
xet hoi	(verb) interrogate, question
đeo	(verb) to carry; to wear; to put on
đeo	(verb) to cut; to squeeze (money)bac vat	(noun) Engineer; erudition
đeo	(adj) soft; flexible; plastic
đeo	(noun) mountain pass
đeo	(verb) to carry ; to take along with
đeo	(ít dùng) Wrinkled, puckered
đeo	(tục)Fuck; Not a bloody damn
đầy rẫy	xem đầy dẫyap giai	(verb) To escort, to conduct under escort
đầy rẫy	xem đầy dẫy
beo lan	Stout
beo lan	Stout
beo lan	Muscular, corpulent
buong long	Relax
buong long	Relax
cach mang xa hoi	the social revolution
cach mang xa hoi	the social revolution
chap kinh	(verb) To keep to the usual code of conduct
chap kinh	(verb) To keep to the usual code of conduct
cất dọn	Arrange, put in order
cất dọn	Arrange, put in order
do vi	Latitude
do vi	Latitudebang nhang	(verb) To behave like a bumble, to fuss
hau duong	Building at the back of a mansion
hau duong	Building at the back of a mansion
hong may	Have a breakdown
hong may	Have a breakdown
hương hoa	Joss-sticks and flowers (offerings to deities when worshipping them)
hương hoa	Cult-portion of heritage entail
hương hoa	Joss-sticks and flowers (offerings to deities when worshipping them)
khac khoai	(adj) worried; anxious
khac khoai	(adj) worried; anxious
kháy	Hint, tease
kháy	(noun) tray
kháy	(địa phương) như gảy
kháy	In cynical manner
luu ban	Repeat a class
luu ban	Repeat a class
manh liet	(adj) violent; vehement; furious durming
manh liet	(adj) violent; vehement; furious durming
mục kỉnh	(noun) gig-lamps, specs
mục kỉnh	(noun) gig-lamps, specs
qua tai	Overloaded
qua tai	Overloaded
rủ rỉ rù rì	xem rủ rỉ (láy)
rủ rỉ rù rì	xem rủ rỉ (láy)
song that luc bat	Seven-seven-six-eight word meter
song that luc bat	Seven-seven-six-eight word meter
thiet ke	(verb) to design
thiet ke	(verb) to design
thống kê	(động từ) count, reckon
thống kê	(danh từ) statistics
thống kê	(động từ) count, reckon
thống kê	(danh từ) statistics
tệ đoan	(noun) social evil, corrupt practices
tệ đoan	(noun) social evil, corrupt practices
xet xu	(verb) to judge, to decide
xet xu	(verb) to judge, to decide
đeo đuổi	(verb) to pursue; to follow up
đeo đuổi	(verb) to pursue; to follow up
đầy tháng	Exactly one month old (of a baby)ap luc	(noun) Pressure
đầy tháng	Exactly one month old (of a baby)
beo leo	(adj) Glib
beo leo	(adj) Glib
buong may	Engine-room
buong may	Engine-room
bảo an	(verb) To maintain law and order, to ensure security
bảo an	(noun) Provincial guards, district guards
bảo an	Như báo yên
bảo an	Return a benefaction; show gratitude
cach ngon	(noun) Maxim, adage, saying
cach ngon	(noun) Maxim, adage, saying
chap kinh tong quyen	xem quyền
chap kinh tong quyen	xem quyền
cất giấu	Hide, conceal
cất giấu	Hide, conceal
do vong	Pray for the ascent of a soul to virnava, say a requiem mass
do vong	Pray for the ascent of a soul to virnava, say a requiem massbang nhan	(noun) Matchmaker
dơi muỗi	Vespertilis
dơi muỗi	Vespertilis
dơi muỗi	Twentyish
giấy nháp	Drafting paper
giấy nháp	Drafting paper
hau ha	(verb) to attend; to attend on
hau ha	(verb) to attend; to attend on
hong ngam	Soaked Japanese persimmon (thus rid of tannin)
hong ngam	Soaked Japanese persimmon (thus rid of tannin)
khac khu	A bit under the weather
khac khu	A bit under the weather
khâm liệm	(verb) to enshroud
khâm liệm	(verb) to enshroud
luu cau	(từ cũ; nghĩa cũ) Jade-inlaid sword
luu cau	(từ cũ; nghĩa cũ) Jade-inlaid sword
manh loi	(noun) trick; dodge
manh loi	(noun) trick; dodge
mục lục	(noun) contents, list
mục lục	(noun) contents, list
ngoc ngach	Narrow and out-of-the-way road
ngoc ngach	Narrow and out-of-the-way road
nhai nhai	Too lengthy
nhai nhai	Too lengthy
ong buom	như bướm ong
ong buom	như bướm ong
phuc duc	(adj) blessing
phuc duc	(adj) blessing
song the	(từ cũ) Bigamy
song the	(từ cũ) Bigamy
thiet lap	(verb) to establish, to set up
thiet lap	(verb) to establish, to set up
thống lĩnh	(verb) to be commander-in-chief
thống lĩnh	(verb) to be commander-in-chief
tỉ mỉ	(adj) minute, miticulous, detailed
tỉ mỉ	(adj) minute, miticulous, detailed
xi	(noun) sealing wax polish
xi	(verb) leak out, escape
xi	(noun) slag, cinder
đầy tràn	Overflowing, overbrimmingap suat	(noun) Pressure
đầy tràn	Overflowing, overbrimming
beo mam	Fatty
beo mam	Fatty
buong mieng	(khẩu ngữ) Open one's mouth to speak
buong mieng	(khẩu ngữ) Open one's mouth to speak
bảo an binh	(noun) Guard (provincial or district)
cach nhat	Every other day
cach nhat	Every other day
chap ne	như chấp nhất
chap ne	như chấp nhất
cất giọng	Begin to sing, begin a song; raise one's voice
cất giọng	Begin to sing, begin a song; raise one's voice
dơi quạ	Flying fox (bat)
dơi quạ	Flying fox (bat)
giấy nến	như giấy sáp
giấy nến	như giấy sáp
hau hau	xem háu (láy)
hau hau	xem háu (láy)
hong ngoai	Infra-red
hong ngoai	Infra-red
hương liệu	(noun) spice; condiment
hương liệu	(noun) spice; condiment
khâm mạng	Act as the king's envoy; King's envoy; Le'gate
khâm mạng	Act as the king's envoy; King's envoy; Le'gate
luu chieu	Copyright deposit
luu chieu	Copyright deposit
mục nát	Rotten, decayed; Corrupt
mục nát	Rotten, decayed; Corrupt
nà	Silk strech (on a river bank); (địa phương) Well!; Let's, let
nà	(noun) cross-bow; arbalest
nà	(verb) to tole; to bring
nà	(noun) custard-apple
nà	(verb) to hunt for
nà	(từ cũ) Mother
nà	(noun) short time; short while
nà	(noun) creel
song thi	(y học) Diplopia
song thi	(y học) Diplopia
thiet mang	(verb) to lose one's life, die
thiet mang	(verb) to lose one's life, die
thống nhất	(verb) to unite, to unify
thống nhất	(adj) united
thống nhất	(verb) to unite, to unify
thống nhất	(adj) united
tỉ tê	(adv) whisperingly
tỉ tê	(adv) whisperingly
xi ga	(noun) cigar
xi ga	(noun) cigar
đi biệt	Leave forever
đi biệt	Leave forever
đầy tuổi	Exactly one year old (of a baby)ap tai	(verb) To convoy
đầy tuổi	Exactly one year old (of a baby)
beo map	Stout, plump
beo map	Stout, plump
buong tay	Stop work[ing], knock off
buong tay	Stop work[ing], knock off
bảo ban	(verb) To admonish
cach quang	Intermittent
cach quang	Intermittent
chap nhan	(verb) To accept, to agree to
chap nhan	(verb) To accept, to agree to
cất hàng	(verb) To buy goods
cất hàng	(verb) To buy goods
dao ngon	Rumour
dao ngon	Rumour
dơi quỷ	Vampire[-bat]
dơi quỷ	Vampire[-bat]
giấy phép	(noun) permit; license
giấy phép	(noun) permit; license
hau het	almost; nearly
hau het	almost; nearly
hong nhan	(noun) beautiful woman; beautiful girl
hong nhan	(noun) beautiful woman; beautiful girl
hương lân	(từ cũ; nghĩa cũ) Country neighbour
hương lân	(từ cũ; nghĩa cũ) Country neighbour
khac nghiet	Harsh
khac nghiet	Harsh
khâm phục	(verb) to admire
khâm phục	(verb) to admire
luu chuyen	Circulation, turnover
luu chuyen	Circulation, turnover
manh moi	(noun) clue
manh moi	(noun) clue
mục súc	(từ cũ) Grazing animals
mục súc	(từ cũ) Grazing animals
nài	(verb) to mind
nài	(verb) to insists
nài	(verb) to tie
nài	(noun) jockey
nài	female of certain animals
nài	(noun) deer
nài	Salt-marsh.; (từ cũ) như nề Mind
nài	(noun) small bag
phuc hau	Kind-hearted, gentle and upright
phuc hau	Kind-hearted, gentle and upright
rủi may	[By] pure chance
rủi may	[By] pure chance
thiet moc	(noun) ironwood
thiet moc	(noun) ironwood
thống trị	(verb) to dominate, to rule
thống trị	(verb) to dominate, to rule
xi lanh	(noun) - cylinder
đi bộ	(verb) to walk
đi bộ	(verb) to walk
đầy tớ	xem đày tớap toi	(verb) to dash forward
đầy tớ	Servant; Agent, hireling
đầy tớ	Servant; Agent, hireling
beo mat	ngủ cho béo mắt To sleep to one's heart's content
beo mat	ngủ cho béo mắt To sleep to one's heart's content
buong tha	(verb) To disengage, to spare
buong tha	(verb) To disengage, to spare
bảo bối	(noun) Valuable thing; Magic wand
cach rach	(thông tục) Cumbersome, cumbrous
cach rach	(thông tục) Cumbersome, cumbrous
chap nhat	To be a stickler for
chap nhat	To be a stickler for
chap nhat	To resent (petty mistakes..)
chap nhat	(verb) To glean, to scrape together
cất miệng	(thông tục) Open one's mouth (to speak)
cất miệng	(thông tục) Open one's mouth (to speak)
dao ngu	(verb) to desert
dao ngu	(verb) to desert
doa	(kỹ thuật) Smooth (enlarge) the bore (of the tubẹ..); bore
doa	(usually used in front of a name of nice flower)
doa	Banishban den	(noun) Opium-tray
doa	xem nổi dóa
doa	(verb) to menace; to intimidate
giấy quyến	Thin tissue paper
giấy quyến	Thin tissue paper
hong nhung	(thục) Velvety rose
hong nhung	(thục) Velvety rose
hương lão	(từ cũ; nghĩa cũ) Village elders
hương lão	(từ cũ; nghĩa cũ) Village elders
khac nho	Hawk and spit
khac nho	Hawk and spit
khâm sai	King's special envoy
khâm sai	King's special envoy
luu cuu	Long-standing
luu cuu	Long-standing
mục sư	Pastor, clergyman
mục sư	Pastor, clergyman
nài bao	Not flinch from, defy
nài bao	Not flinch from, defy
rủi ro	Risk; Unlucky, unfortunate
rủi ro	Risk; Unlucky, unfortunate
thiet tha	(adj) keen on, attached to eager
thiet tha	(adj) keen on, attached to eager
thống đốc	(noun) governor
thống đốc	(noun) governor
xi lip	(noun) panties
xi lip	(noun) panties
đi bộ đội	Join the (communist) army
đi bộ đội	Join the (communist) army
đầy ói	Have in profusion,be choke-full withap u	(verb) to nurse, to nurture, to harbour, to cherish, to entertain
đầy ói	(địa phương) như đầy óiau da	(verb) To have a row, to have a dogfight
đầy ói	Have in profusion,be choke-full with
beo mo	(tiếng mă'ng) Pranky prankish, prankful, frolicsome
beo mo	(tiếng mă'ng) Pranky prankish, prankful, frolicsome
buong the	như buồng khuê
buong the	như buồng khuê
bảo chứng	(noun) Security, deposit
cach tan	(verb) To renovate
cach tan	(verb) To renovate
chap thuan	(verb) To grant, to agree to
chap thuan	(verb) To grant, to agree to
co tich	(noun) Historical vestiges
co tich	(noun) Historical vestiges
cất mả	To remove remains of a dead person (from one grave to another), to exhume and move (someone's remains) to another grave
cất mả	To remove remains of a dead person (from one grave to another), to exhume and move (someone's remains) to another grave
doa dam	Threaten, intimidate (nói khái quát)
doa dam	Threaten, intimidate (nói khái quát)
dư ba	(ít dùng) Rippling tail (of a wave); lingering tremor (of some upheaval)
dư ba	(ít dùng) Rippling tail (of a wave); lingering tremor (of some upheaval)
giấy quỳ	(hoá học) Litmus paper
giấy quỳ	(hoá học) Litmus paper
hau kien	(từ cũ; nghĩa cũ) Appear before the court (to face trial)
hau kien	(từ cũ; nghĩa cũ) Appear before the court (to face trial)
hong phuc	(noun) great blessing
hong phuc	(noun) great blessing
hương lửa	(noun) conjugal-love, conjugal-bliss
hương lửa	(noun) conjugal-love, conjugal-bliss
khac nung	Pyrography
khac nung	Pyrography
khâm sứ	(cũ) French Resident Superior (in Central Vietnam)
khâm sứ	(cũ) French Resident Superior (in Central Vietnam)
manh nha	(noun) germ; sprout
mục tiêu	(noun) aim; object; target
mục tiêu	(noun) aim; object; target
nài nỉ	(verb) to beg; to insist; to adjure
nài nỉ	(verb) to beg; to insist; to adjure
rủn	[Be] flabby, [be] faint
rủn	(verb) to tremble; to quiver ;to shiver;to quaver
rủn	(ít dùng) Draw back, draw in, retract
thiet than	(adj) of one's own
thiet than	(adj) of one's own
tỉnh dậy	(verb) to wake up
tỉnh dậy	(verb) to wake up
đi chân	như đi bộ
đi chân	như đi bộ
beo ngay	Greasy
beo ngay	Greasy
buong toi	Dark room
buong toi	Dark room
bảo dưỡng	(verb) To care for, to look after; To maintain, to keep in good repair
cach thuc	(noun) Style, mode (nói khái quát)
cach thuc	(noun) Style, mode (nói khái quát)
chap toi	Dusk, nightfall
chap toi	Dusk, nightfall
cất mộ	như cất mả
cất mộ	như cất mả
dao nguyen	(văn chương) Fairies' home, Elysium
dao nguyen	(văn chương) Fairies' home, Elysium
doa day	(verb) to maltreat; to ill-treat
doa day	(verb) to maltreat; to ill-treatban dia	(adj) Native, indigenous
dư dả	(địa phương) Having enough and to spare, comfortable
dư dả	(địa phương) Having enough and to spare, comfortable
dư dả	(khẩu ngữ) Easily-infected skin
giấy ráp	Emery-paper, glass-paper
giấy ráp	Emery-paper, glass-paper
hau mon	(noun) anus
hau mon	(noun) anus
hong quan	(từ cũ; nghĩa cũ; văn chương) Heaven; (từ cũ; nghĩa cũ) Red army (of the Soviet Union)
hong quan	(từ cũ; nghĩa cũ; văn chương) Heaven; (từ cũ; nghĩa cũ) Red army (of the Soviet Union)
hong quan	(từ cũ; nghĩa cũ; văn chương) Red trousers; fair, beautiful girl
hương nhu	(noun) holy basil
hương nhu	(noun) holy basil
khac phuc	Overcome, surmount, make good
khac phuc	Overcome, surmount, make good
khâm thiên giám	(lịch sử) The astronomical service
khâm thiên giám	(lịch sử) The astronomical service
luu dang	Live a wandering life
luu dang	Live a wandering life
manh tam	(verb) to intend to; to mean tọ
manh tam	(verb) to intend to; to mean tọ
mục trường	(ít dùng) grazing-ground, grazing-land
mục trường	(ít dùng) grazing-ground, grazing-land
nài xin	Beseech
nài xin	Beseech
rủn chí	Be flabby in one's will, have a flabby will
rủn chí	Be flabby in one's will, have a flabby will
thiet thuc	(adj) practical, realistic
thiet thuc	(adj) practical, realistic
thốt nốt	(noun) palmyra
thốt nốt	(noun) palmyra
xi mang	(noun) cement
xi mang	(noun) cement
đi chân đất	cũng nói đi chân không To go (walk) barefoot
đi chân đất	cũng nói đi chân không To go (walk) barefoot
beo Nhat Ban	Water hyacinth
beo Nhat Ban	Water hyacinth
buong troi	To let drift
buong troi	To let drift
bảo hiểm	(verb) To see to the safety; To insure
cach thuy	(dùng phụ sau danh từ) Bain-marie, water bath (Mỹ)
cach thuy	(dùng phụ sau danh từ) Bain-marie, water bath (Mỹ)
chap va	To patch up
chap va	To patch up
co tri	(noun) old acquaintance
co tri	(noun) old acquaintance
cất nhà	(verb) To buy a house
cất nhà	(verb) To buy a house
doa nat	(verb) to threaten; to intimidate
doa nat	(verb) to threaten; to intimidate
dư dật	Comfortably off, having more than enough
dư dật	Comfortably off, having more than enough
gia vi	(noun) spice
gia vi	(noun) spice
giấy sáp	Stensil
giấy sáp	Stensil
hau nghiem	(triết học) A posteriori
hau nghiem	(triết học) A posteriori
hong sac	(Gỗ hồng sắc) Reddish wood (second-class wood)
hong sac	(Gỗ hồng sắc) Reddish wood (second-class wood)
hương quan	(từ cũ; nghĩa cũ) Native land, home village
hương quan	(từ cũ; nghĩa cũ) Native land, home village
khac sau	Engrave (in one's mind)
khac sau	Engrave (in one's mind)
luu danh	(verb) to leave a good name
luu danh	(verb) to leave a good name
manh thu	(noun) wild beast
manh thu	(noun) wild beast
mục từ	Entry (in a dictionary)
mục từ	(từ cũ) Herdsman
mục từ	Entry (in a dictionary)
nham chuc	Take up an appoinment
nham chuc	Take up an appoinment
nhăm nhe	(địa phương) như lăm le
nhăm nhe	(địa phương) như lăm le
nhăm nhe	(khẩu ngữ) Aim at several times (before shooting); Choose (select) in advance
nhăm nhe	(địa phương) Succeed, make it
nài ép	Force with entreaties
nài ép	Force with entreaties
ong chua	Queen bee
ong chua	Queen bee
rủng ra rủng rỉnh	xem rủng rỉnh (láy)
rủng ra rủng rỉnh	xem rủng rỉnh (láy)
thiet yeu	(adj) essential, requisite
thiet yeu	(adj) essential, requisite
thồn	(verb) to fill, to squeeze
thồn	(adj) tapering, tapered daintily slender
thồn	(noun) hamlet
tỉnh táo	(adj) alert, active, in full possession, vigilant
tỉnh táo	(adj) alert, active, in full possession, vigilant
đi chơi	(verb) to go out, to be out
đi chơi	(verb) to go out, to be out
đầy đủ	complete; sufficient; adequateau	(adj) Bright and cheerful
đầy đủ	complete; sufficient; adequate
beo nheo	Flabby, flaccid
beo nheo	Flabby, flaccid
buong trung	(noun) Ovary
buong trung	(noun) Ovary
bảo hoàng	(adj) Royalist
cach tro	(verb) To separate and obstruct
cach tro	(verb) To separate and obstruct
chat	(Clang)
chat	adj Acrid; nói về âm thanh) Clanging
chat	(Clang)
chat	adj Acrid; nói về âm thanh) Clanging
chat	(noun) nước chạt Brine (from which salt is got); Salt-pond
chat	(noun) Substance, matter; Quality
chat	(verb) To heap, to pile
chat	(adj) Tight, narrow; Overcrowded, crammed, packed
chat	(noun) Great-grandchild; Game of skill with sticks and a ball
chat	(verb) To decant
chat	(verb) To cut, to fell, to chop, to shatter
chat	(adj) Secure, close, tight
co truong	(noun) (y học) Hydropsy
co truong	(noun) (y học) Hydropsy
cất nhắc	To be hardly able to lift (one's limbs); To promote
cất nhắc	To be hardly able to lift (one's limbs); To promote
dao nhiem	Come and take up one's duty, come and assume one's responsibility
doai	Strech
doai	The eight-sign figuge; Occident, west
doai	Remember with longing; Condenscend. deign
doai	Strech
dư giả	(adj) plentiful
dư giả	(adj) plentiful
giấy than	(noun) carbon paper
giấy than	(noun) carbon paper
hau nhu	Almost
hau nhu	Almost
hong tam	(noun) bull's eye
hong tam	(noun) bull's eye
hương sen	Lotus seed-pod. watering-can rose, shower-rose
hương sen	Lotus seed-pod. watering-can rose, shower-rose
khâu chần	Quilt
khâu chần	Quilt
luu day	(verb) to exile; to banish; to deport
luu day	(verb) to exile; to banish; to deport
ngoe	Crab'slegs; New-born baby's cry
ngoe	Marsh frog
nham chung	(địa phương) Perhaps
nham chung	(địa phương) Perhaps
nhăm nhăm	như lăm lăm
nhăm nhăm	như lăm lăm
nàng	(noun) she; her
nàng	(verb) to raise
nàng	(noun) (Anat) follicle; follicule
nàng	Frequently, often, many a time
nàng	(noun) fork
nàng	(noun) crutch
nàng	như nứng
nàng	(thông tục) Swipe, steal
nàng	(địa phương) như nựng
nàng	(adj) sunny
nàng	(adj) heavy; ponderous; weighty
phuc khao	(từ cũ) Check examination papers
phuc khao	(từ cũ) Check examination papers
qua trinh	(noun) process
qua trinh	(noun) process
rủng rẻng	Clink
rủng rẻng	Clink
thieu	(verb) to burn, to cremate
thieu	(verb) to burn, to cremate
thieu	(verb) to be short of, to lack to owe
tị nạn	(verb) to flee from danger; to refuge
tị nạn	(verb) to flee from danger; to refuge
xi nghiep	(noun) business, enterprise
xi nghiep	(noun) business, enterprise
đi cầu	(địa phương) Go to stool
đi cầu	(địa phương) Go to stool
đầy ắp	(adj) brimful, plentifulau ca	(cũ) Sing in chorus the praises
đầy ắp	như đầy ắpau chau	(noun) Europe
đầy ắp	(adj) brimful, plentiful
beo ong	Floating moss
beo ong	Floating moss
buong tuong	(adj) Self-indulgent
buong tuong	(adj) Self-indulgent
cach xa	Far away from
cach xa	Far away from
chat beo	Lipid
chat beo	Lipid
co truyen	Age-old
co truyen	Age-old
cất quyền	Deprive somebody of his rights as a citizen
cất quyền	Deprive somebody of his rights as a citizen
dao nhip	Penknife, pocket-knife
dao nhip	Penknife, pocket-knife
doai tuong	(verb) to think of
doai tuong	(verb) to think of
dư hạ	Leisure time, leisure
dư hạ	Leisure time, leisure
giấy thiếc	Tin foil
giấy thiếc	Tin foil
hau phau	(y) Post-operational
hau phau	(y) Post-operational
hong thap tu	(noun) red cross
hong thap tu	(noun) red cross
hương sư	(từ cũ; nghĩa cũ) village headmaster (thời thuộc pháp)
hương sư	(từ cũ; nghĩa cũ) village headmaster (thời thuộc pháp)
khâu lược	Tack, baste
khâu lược	Tack, baste
luu dong	(noun) mobile; ambulatory
luu dong	(noun) mobile; ambulatory
mao	(noun) comb; crest (of bird)
mao	(noun) comb; crest (of bird)
mục đích	(noun) mark; goal; purpose
mục đích	(noun) mark; goal; purpose
ngoe ngoay	Waggle, wag
ngoe ngoay	Waggle, wag
nham hiem	Wicked
nham hiem	Wicked
nàng dâu	(noun) daughter-in-law
nàng dâu	(noun) daughter-in-law
nàng dâu	Have a slight headache
qua troi	(thông tục) Mighty
qua troi	(thông tục) Mighty
rủng rỉnh	Be clinking with plenty of money
rủng rỉnh	Quiver
song tieu	(vật lý) Bifocal
song tieu	(vật lý) Bifocal
thieu hut	(adj) short of, inadequate, deficient
thieu hut	(adj) short of, inadequate, deficient
thổ dân	(noun) aboriginal, native
thổ dân	(noun) aboriginal, native
tịch liêu	(adj) solitary, quiet
tịch liêu	(adj) solitary, quiet
xi ro	(noun) syrup
xi ro	(noun) syrup
đi củi	Fetch wood (in the forest)
đi củi	Fetch wood (in the forest)
beo quay	Tubby
beo quay	Tubby
buong xong	To drop some sharp words, to drop some words curtly
buong xong	To drop some sharp words, to drop some words curtly
bảo hòa	(adjective) Saturated; saturant
bảo hòa	(adj) Saturated
bảo hòa	Saturated
chat bop	To stint oneself in
chat bop	To stint oneself in
cất quân	To raise troops
cất quân	To raise troops
doan	(noun) custom
doan	(noun) custom
doan	(noun) group; party; hand; crops
doan	(verb) to guess; to conjecture; to divine
doan	(noun) Section; pant ; portion; passage; Paragraph
doan	(verb) To cut
doan	(adj) Short
dư luận	(noun) public opinion
dư luận	(noun) public opinion
gia yeu	Decrepit, old and feeble
gia yeu	Decrepit, old and feeble
giấy thông hành	(noun) passport
giấy thông hành	(noun) passport
hau phi	(từ cũ; nghĩa cũ) Wife of the king
hau phi	(từ cũ; nghĩa cũ) Wife of the king
hong thuy	The Deluge, the Flood
hong thuy	The Deluge, the Flood
hương thí	(từ cũ; nghĩa cũ) như thi hương
hương thí	(từ cũ; nghĩa cũ) như thi hương
khâu tay	Sew by hand-sew
khâu tay	Sew by hand-sew
luu dung	(khẩu ngữ) như lưu dụng
luu dung	(khẩu ngữ) như lưu dụng
luu dung	Keep for use, keep in office (from a former regime)
mục đích luận	(triết học) Finalism
mục đích luận	(triết học) Finalism
ngoe ngoe	xem ngoe
ngoe ngoe	Croak
nhăn mặt	(verb) to pull a wry face
nhăn mặt	(verb) to pull a wry face
nhăn mặt	(verb) to identify
nhăn mặt	(xấu) Notorious
nàng hầu	(noun) young concubine
nàng hầu	(noun) young concubine
qua tron	Excessively, immoderate
qua tron	Excessively, immoderate
thieu huy	(verb) to destroy, to burn down
thieu huy	(verb) to destroy, to burn down
thổ lộ	(verb) to confess, to pour out
thổ lộ	(verb) to run, to be snotty
thổ lộ	(verb) to run, to be snotty
tịch thu	(verb) to confiscate
tịch thu	(verb) to confiscate
đi dạo	(verb) to sholl, to go for a walk
đi dạo	(verb) to sholl, to go for a walk
beo tam	Duckweed
beo tam	Duckweed
buong xuoi	To let (something) run its course
buong xuoi	To let (something) run its course
bảo hộ	(verb) To protect; To administer as a protectorate
chat cha chat chuong	xem chất chưởng
chat cha chat chuong	xem chất chưởng
chat cha chat chuong	xem chật chưỡng
co tuong	(noun) Chinese chess
co tuong	(noun) Chinese chess
cất tiếng	Begin to speak; begin to sing
cất tiếng	Begin to speak; begin to sing
dao nuong	(cũ) Singsong girl, geisha
dao nuong	(cũ) Singsong girl, geisha
doan bo	Headquarter
doan bo	Headquarter
dư thừa	Superfluous; redundant, in excess
dư thừa	Superfluous; redundant, in excess
giấy thấm	như giấy thẩm
giấy thấm	như giấy thẩm
hau phuong	(noun) rear
hau phuong	(noun) rear
hong tran	như bụi hồng
hong tran	như bụi hồng
hương thôn	countryside, villages, villages and hamlets
hương thôn	countryside, villages, villages and hamlets
khâu vá	Sew (nói khái quát)
khâu vá	Sew (nói khái quát)
luu hanh	(verb) to circulate
luu hanh	(verb) to circulate
mục đông	Herdsman
mục đông	(noun) herds-man
mục đông	Herdsman
nham huong	(verb) to orientate
nham huong	(verb) to orientate
nhăn nheo	(adj) wrinkled up
nhăn nheo	(adj) wrinkled up
nàng thơ	Poetic muse, poetic inspiration, the muse
